Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
step_3_contigs	517	151	83	68	50	32	5315160	5204929	5038908	4935231	4639340	3960781	206	300784	5244705	50.54	105346	51460	15	32	0.00
step_4_contigs	89	15	13	12	12	12	5442515	5421741	5418637	5409536	5409536	5409536	20	1177329	5425213	50.62	816412	374236	3	6	0.00
